Category,Description,Material cost per unit,Labor cost per unit,Lump sum cost,Manhours per unit,Equipment cost per unit,Unit of measure,Crew code and detail,Crew Code
Subfloor adhesive,"12"" OC members (1/8"" Bead diameter)",3.55,,,,,CSF,,
Subfloor adhesive,"12"" OC members (1/4"" Bead diameter)",14.2,,,,,CSF,,
Subfloor adhesive,"12"" OC members (3/8"" Bead diameter)",32,,,,,CSF,,
Subfloor adhesive,"12"" OC members (1/2"" Bead diameter)",56.9,,,,,CSF,,
Subfloor adhesive,"16"" OC members (1/8"" Bead diameter)",2.67,,,,,CSF,,
Subfloor adhesive,"16"" OC members (1/4"" Bead diameter)",10.7,,,,,CSF,,
Subfloor adhesive,"16"" OC members (3/8"" Bead diameter)",24,,,,,CSF,,
Subfloor adhesive,"16"" OC members (1/2"" Bead diameter)",42.7,,,,,CSF,,
Subfloor adhesive,"20"" OC members (1/8"" Bead diameter)",2.13,,,,,CSF,,
Subfloor adhesive,"20"" OC members (1/4"" Bead diameter)",8.53,,,,,CSF,,
Subfloor adhesive,"20"" OC members (3/8"" Bead diameter)",19.2,,,,,CSF,,
Subfloor adhesive,"20"" OC members (1/2"" Bead diameter)",34.1,,,,,CSF,,
Subfloor adhesive,"24"" OC members (1/8"" Bead diameter)",1.78,,,,,CSF,,
Subfloor adhesive,"24"" OC members (1/4"" Bead diameter)",7.11,,,,,CSF,,
Subfloor adhesive,"24"" OC members (3/8"" Bead diameter)",16,,,,,CSF,,
Subfloor adhesive,"24"" OC members (1/2"" Bead diameter)",28.4,,,,,CSF,,
Wall sheathing adhesive,"12"" OC members (1/8"" Bead diameter)",5.06,,,,,CSF,,
Wall sheathing adhesive,"12"" OC members (1/4"" Bead diameter)",20.2,,,,,CSF,,
Wall sheathing adhesive,"12"" OC members (3/8"" Bead diameter)",45.5,,,,,CSF,,
Wall sheathing adhesive,"12"" OC members (1/2"" Bead diameter)",80.9,,,,,CSF,,
Wall sheathing adhesive,"16"" OC members (1/8"" Bead diameter)",3.79,,,,,CSF,,
Wall sheathing adhesive,"16"" OC members (1/4"" Bead diameter)",15.2,,,,,CSF,,
Wall sheathing adhesive,"16"" OC members (3/8"" Bead diameter)",34.1,,,,,CSF,,
Wall sheathing adhesive,"16"" OC members (1/2"" Bead diameter)",60.7,,,,,CSF,,
Wall sheathing adhesive,"20"" OC members (1/8"" Bead diameter)",3.03,,,,,CSF,,
Wall sheathing adhesive,"20"" OC members (1/4"" Bead diameter)",12.1,,,,,CSF,,
Wall sheathing adhesive,"20"" OC members (3/8"" Bead diameter)",27.3,,,,,CSF,,
Wall sheathing adhesive,"20"" OC members (1/2"" Bead diameter)",48.5,,,,,CSF,,
Wall sheathing adhesive,"24"" OC members (1/8"" Bead diameter)",2.53,,,,,CSF,,
Wall sheathing adhesive,"24"" OC members (1/4"" Bead diameter)",10.1,,,,,CSF,,
Wall sheathing adhesive,"24"" OC members (3/8"" Bead diameter)",22.8,,,,,CSF,,
Wall sheathing adhesive,"24"" OC members (1/2"" Bead diameter)",40.4,,,,,CSF,,
Foam panel adhesive,"12"" OC members (1/8"" Bead diameter)",5.23,,,,,CSF,,
Foam panel adhesive,"12"" OC members (1/4"" Bead diameter)",20.9,,,,,CSF,,
Foam panel adhesive,"12"" OC members (3/8"" Bead diameter)",47,,,,,CSF,,
Foam panel adhesive,"12"" OC members (1/2"" Bead diameter)",83.6,,,,,CSF,,
Foam panel adhesive,"16"" OC members (1/8"" Bead diameter)",3.92,,,,,CSF,,
Foam panel adhesive,"16"" OC members (1/4"" Bead diameter)",15.7,,,,,CSF,,
Foam panel adhesive,"16"" OC members (3/8"" Bead diameter)",35.3,,,,,CSF,,
Foam panel adhesive,"16"" OC members (1/2"" Bead diameter)",62.7,,,,,CSF,,
Foam panel adhesive,"20"" OC members (1/8"" Bead diameter)",3.14,,,,,CSF,,
Foam panel adhesive,"20"" OC members (1/4"" Bead diameter)",12.5,,,,,CSF,,
Foam panel adhesive,"20"" OC members (3/8"" Bead diameter)",28.2,,,,,CSF,,
Foam panel adhesive,"20"" OC members (1/2"" Bead diameter)",50.2,,,,,CSF,,
Foam panel adhesive,"24"" OC members (1/8"" Bead diameter)",2.61,,,,,CSF,,
Foam panel adhesive,"24"" OC members (1/4"" Bead diameter)",10.5,,,,,CSF,,
Foam panel adhesive,"24"" OC members (3/8"" Bead diameter)",23.5,,,,,CSF,,
Foam panel adhesive,"24"" OC members (1/2"" Bead diameter)",41.8,,,,,CSF,,
Gypsum drywall adhesive,"12"" OC members (1/8"" Bead diameter)",1.71,,,,,CSF,,
Gypsum drywall adhesive,"12"" OC members (1/4"" Bead diameter)",6.83,,,,,CSF,,
Gypsum drywall adhesive,"12"" OC members (3/8"" Bead diameter)",15.4,,,,,CSF,,
Gypsum drywall adhesive,"12"" OC members (1/2"" Bead diameter)",27.3,,,,,CSF,,
Gypsum drywall adhesive,"16"" OC members (1/8"" Bead diameter)",1.28,,,,,CSF,,
Gypsum drywall adhesive,"16"" OC members (1/4"" Bead diameter)",5.12,,,,,CSF,,
Gypsum drywall adhesive,"16"" OC members (3/8"" Bead diameter)",11.5,,,,,CSF,,
Gypsum drywall adhesive,"16"" OC members (1/2"" Bead diameter)",20.5,,,,,CSF,,
Gypsum drywall adhesive,"20"" OC members (1/8"" Bead diameter)",1.02,,,,,CSF,,
Gypsum drywall adhesive,"20"" OC members (1/4"" Bead diameter)",4.1,,,,,CSF,,
Gypsum drywall adhesive,"20"" OC members (3/8"" Bead diameter)",9.22,,,,,CSF,,
Gypsum drywall adhesive,"20"" OC members (1/2"" Bead diameter)",16.4,,,,,CSF,,
Gypsum drywall adhesive,"24"" OC members (1/8"" Bead diameter)",0.85,,,,,CSF,,
Gypsum drywall adhesive,"24"" OC members (1/4"" Bead diameter)",3.42,,,,,CSF,,
Gypsum drywall adhesive,"24"" OC members (3/8"" Bead diameter)",7.69,,,,,CSF,,
Gypsum drywall adhesive,"24"" OC members (1/2"" Bead diameter)",13.7,,,,,CSF,,
Hardboard or plastic panel adhesive on walls,"12"" OC members (1/8"" Bead diameter)",4.45,,,,,CSF,,
Hardboard or plastic panel adhesive on walls,"12"" OC members (1/4"" Bead diameter)",17.8,,,,,CSF,,
Hardboard or plastic panel adhesive on walls,"12"" OC members (3/8"" Bead diameter)",40.1,,,,,CSF,,
Hardboard or plastic panel adhesive on walls,"12"" OC members (1/2"" Bead diameter)",71.3,,,,,CSF,,
Hardboard or plastic panel adhesive on walls,"16"" OC members (1/8"" Bead diameter)",3.34,,,,,CSF,,
Hardboard or plastic panel adhesive on walls,"16"" OC members (1/4"" Bead diameter)",13.4,,,,,CSF,,
Hardboard or plastic panel adhesive on walls,"16"" OC members (3/8"" Bead diameter)",30.1,,,,,CSF,,
Hardboard or plastic panel adhesive on walls,"16"" OC members (1/2"" Bead diameter)",53.5,,,,,CSF,,
Hardboard or plastic panel adhesive on walls,"20"" OC members (1/8"" Bead diameter)",2.67,,,,,CSF,,
Hardboard or plastic panel adhesive on walls,"20"" OC members (1/4"" Bead diameter)",10.7,,,,,CSF,,
Hardboard or plastic panel adhesive on walls,"20"" OC members (3/8"" Bead diameter)",24.1,,,,,CSF,,
Hardboard or plastic panel adhesive on walls,"20"" OC members (1/2"" Bead diameter)",42.8,,,,,CSF,,
Hardboard or plastic panel adhesive on walls,"24"" OC members (1/8"" Bead diameter)",2.23,,,,,CSF,,
Hardboard or plastic panel adhesive on walls,"24"" OC members (1/4"" Bead diameter)",8.91,,,,,CSF,,
Hardboard or plastic panel adhesive on walls,"24"" OC members (3/8"" Bead diameter)",20,,,,,CSF,,
Hardboard or plastic panel adhesive on walls,"24"" OC members (1/2"" Bead diameter)",35.6,,,,,CSF,,
Labor to apply adhesive to floor or ceiling joists,"12"" OC members",,3.08,3.08,0.075,,CSF,BC: [41.06] - (Carpenter),BC
Labor to apply adhesive to floor or ceiling joists,"16"" OC members",,2.3,2.3,0.056,,CSF,BC: [41.06] - (Carpenter),BC
Labor to apply adhesive to floor or ceiling joists,"20"" OC members",,2.14,2.14,0.052,,CSF,BC: [41.06] - (Carpenter),BC
Labor to apply adhesive to floor or ceiling joists,"24"" OC members",,1.72,1.72,0.042,,CSF,BC: [41.06] - (Carpenter),BC
Labor to apply adhesive to interior and exterior wall members,"12"" OC members",,4.11,4.11,0.1,,CSF,BC: [41.06] - (Carpenter),BC
Labor to apply adhesive to interior and exterior wall members,"16"" OC members",,3.7,3.7,0.09,,CSF,BC: [41.06] - (Carpenter),BC
Labor to apply adhesive to interior and exterior wall members,"20"" OC members",,3.45,3.45,0.084,,CSF,BC: [41.06] - (Carpenter),BC
Labor to apply adhesive to interior and exterior wall members,"24"" OC members",,2.79,2.79,0.068,,CSF,BC: [41.06] - (Carpenter),BC
