Zip/Postal Code,Material % adjustment,Labor % adjustment,Equipment % adjustment,TOTAL WEIGHTED AVG.
1022,0,16,0,7
1026,2,0,1,1
1027,2,5,1,3
1028,0,16,0,7
1029,1,0,0,1
1030,1,16,0,8
1031,1,20,0,10
1032,2,5,1,3
1033,1,5,0,3
1034,1,16,0,8
1035,5,5,2,5
1036,0,16,0,7
1037,1,20,0,10
1038,5,20,2,12
1039,2,5,1,3
1040,0,16,0,7
1041,0,16,0,7
1050,2,5,1,3
1053,2,5,1,3
1054,5,33,2,18
1056,0,16,0,7
1057,0,16,0,7
1059,5,20,2,12
1060,2,5,1,3
1061,2,5,1,3
1062,2,5,1,3
1066,2,5,1,3
1068,1,20,0,10
1069,-1,16,0,7
1070,0,0,0,0
1071,1,16,0,8
1072,2,18,1,9
1073,3,5,1,4
1074,1,20,0,10
1075,0,5,0,2
1077,1,16,0,8
1079,-1,16,0,7
1080,-1,16,0,7
1081,-1,16,0,7
1082,-1,16,0,7
1083,-1,16,0,7
1084,2,5,1,3
1085,1,16,0,8
1086,1,16,0,8
1088,2,5,1,3
1089,-1,16,0,7
1090,-1,16,0,7
1092,-1,16,0,7
1093,2,18,1,9
1094,1,20,0,10
1095,2,16,1,8
1096,2,5,1,3
1097,1,16,0,8
1098,2,5,1,3
1101,-1,16,0,7
1102,-1,16,0,7
1103,-1,16,0,7
1104,-1,16,0,7
1105,-1,16,0,7
1106,3,31,1,16
1107,-1,16,0,7
1108,-1,16,0,7
1109,-1,16,0,7
1115,-1,16,0,7
1116,0,16,0,7
1118,-1,16,0,7
1119,-1,16,0,7
1128,-1,16,0,7
1129,-1,16,0,7
1138,-1,16,0,7
1139,-1,16,0,7
1144,-1,16,0,7
1151,-1,16,0,7
1152,-1,16,0,7
1201,0,0,0,0
1202,0,0,0,0
1203,0,0,0,0
1220,0,0,0,0
1222,0,0,0,0
1223,0,0,0,0
1224,0,0,0,0
1225,0,0,0,0
1226,0,0,0,0
1227,0,0,0,0
1229,0,0,0,0
1230,0,0,0,0
1235,0,0,0,0
1236,0,0,0,0
1237,0,0,0,0
1238,0,0,0,0
1240,0,0,0,0
1242,0,0,0,0
1243,0,0,0,0
1244,2,0,1,1
1245,3,15,1,8
1247,-1,0,0,-1
1252,0,0,0,0
1253,1,0,0,1
1254,3,0,1,2
1255,1,0,0,1
1256,0,0,0,0
1257,0,0,0,0
1258,3,15,1,8
1259,0,0,0,0
1260,3,15,1,8
1262,3,15,1,8
1264,3,15,1,8
1266,3,0,1,2
1267,0,0,0,0
1270,0,0,0,0
1301,2,18,1,9
1302,2,18,1,9
1330,2,18,1,9
1331,0,18,0,8
1337,2,18,1,9
1338,2,18,1,9
1339,0,18,0,8
1340,2,18,1,9
1341,5,18,2,11
1342,2,18,1,9
1343,0,0,0,0
1344,1,18,0,9
1346,2,18,1,9
1347,1,18,0,9
1349,1,18,0,9
1350,-1,18,0,8
1351,2,18,1,9
1354,2,18,1,9
1355,2,18,1,9
1360,2,18,1,9
1364,0,18,0,8
1366,4,18,1,10
1367,0,18,0,8
1368,1,18,0,9
1370,2,18,1,9
1373,2,18,1,9
1375,2,5,1,3
1376,2,18,1,9
1378,1,18,0,9
1379,1,18,0,9
1380,1,18,0,9
1420,1,20,0,10
1430,1,20,0,10
1431,1,20,0,10
1432,1,35,0,17
1434,1,35,0,17
1436,1,20,0,10
1438,0,20,0,9
1440,1,20,0,10
1450,5,55,2,28
1451,2,40,1,19
1452,1,20,0,10
1453,1,20,0,10
1460,2,35,1,17
1462,4,35,1,18
1463,2,13,1,7
1464,1,20,0,10
1467,5,40,2,21
1468,1,20,0,10
1469,4,35,1,18
1472,1,20,0,10
1473,1,20,0,10
1474,4,35,1,18
1475,1,20,0,10
1477,1,20,0,10
1501,1,20,0,10
1503,4,35,1,18
1504,1,13,0,7
1505,2,20,1,10
1506,1,20,0,10
1507,1,20,0,10
1508,1,20,0,10
1509,1,20,0,10
1510,1,20,0,10
1515,1,20,0,10
1516,1,20,0,10
1517,2,20,1,10
1518,1,20,0,10
1519,2,20,1,10
1520,1,20,0,10
1521,-1,16,0,7
1522,1,20,0,10
1523,1,20,0,10
1524,1,20,0,10
1525,1,20,0,10
1526,1,20,0,10
1527,1,20,0,10
1529,1,13,0,7
1531,1,20,0,10
1532,4,20,1,11
1534,1,20,0,10
1535,1,20,0,10
1536,2,20,1,10
1537,1,20,0,10
1538,1,13,0,7
1540,1,20,0,10
1541,2,20,1,10
1542,1,20,0,10
1543,1,20,0,10
1545,2,20,1,10
1550,1,20,0,10
1560,1,20,0,10
1561,1,20,0,10
1562,1,20,0,10
1564,2,20,1,10
1566,1,20,0,10
1568,4,35,1,18
1569,1,13,0,7
1570,1,20,0,10
1571,1,20,0,10
1581,4,35,1,18
1583,1,20,0,10
1585,1,20,0,10
1586,1,20,0,10
1588,1,20,0,10
1590,2,20,1,10
1601,2,20,1,10
1602,1,20,0,10
1603,1,20,0,10
1604,1,20,0,10
1605,1,20,0,10
1606,1,20,0,10
1607,1,20,0,10
1608,1,20,0,10
1609,2,20,1,10
1610,1,20,0,10
1611,1,20,0,10
1612,2,20,1,10
1613,1,20,0,10
1614,1,20,0,10
1615,2,20,1,10
1655,1,20,0,10
1701,2,35,1,17
1702,2,35,1,17
1703,2,35,1,17
1704,2,35,1,17
1705,2,35,1,17
1718,2,35,1,17
1719,2,40,1,19
1720,3,40,1,20
1721,2,39,1,19
1730,3,40,1,20
1731,3,40,1,20
1740,2,25,1,13
1741,5,55,2,28
1742,3,40,1,20
1745,2,35,1,17
1746,4,39,1,20
1747,1,13,0,7
1748,4,40,1,21
1749,2,20,1,10
1752,2,20,1,10
1754,2,35,1,17
1756,4,13,1,8
1757,1,39,0,18
1760,2,39,1,19
1770,3,44,1,22
1772,4,40,1,21
1773,6,40,2,22
1775,2,40,1,19
1776,3,40,1,20
1778,3,40,1,20
1784,4,40,1,21
1801,3,35,1,18
1803,2,35,1,17
1810,4,44,1,22
1821,2,35,1,17
1822,2,35,1,17
1824,1,35,0,17
1826,1,35,0,17
1827,5,33,2,18
1830,1,24,0,12
1831,1,24,0,12
1832,1,24,0,12
1833,1,24,0,12
1834,1,24,0,12
1835,1,24,0,12
1840,1,24,0,12
1841,1,24,0,12
1842,1,24,0,12
1843,1,24,0,12
1844,1,24,0,12
1845,2,29,1,14
1850,1,35,0,17
1851,1,35,0,17
1852,1,35,0,17
1853,1,35,0,17
1854,1,35,0,17
1860,1,24,0,12
1862,2,35,1,17
1863,1,35,0,17
1864,2,24,1,12
1865,2,35,1,17
1866,2,35,1,17
1867,2,35,1,17
1876,2,35,1,17
1879,2,35,1,17
1880,2,24,1,12
1885,2,29,1,14
1886,2,40,1,19
1887,2,35,1,17
1888,3,35,1,18
1890,3,40,1,20
1901,2,60,1,29
1902,2,60,1,29
1903,2,60,1,29
1904,2,24,1,12
1905,1,60,0,28
1906,2,60,1,29
1907,2,24,1,12
1908,2,65,1,31
1913,1,24,0,12
1915,2,24,1,12
1921,4,44,1,22
1922,2,29,1,14
1923,2,24,1,12
1929,2,24,1,12
1930,2,24,1,12
1931,2,24,1,12
1936,3,29,1,15
1937,2,29,1,14
1938,2,24,1,12
1940,2,29,1,14
1944,6,44,2,23
1945,5,29,2,16
1949,2,29,1,14
1950,2,24,1,12
1951,3,24,1,13
1952,2,15,1,8
1960,2,24,1,12
1961,2,24,1,12
1965,2,24,1,12
1966,3,24,1,13
1969,2,29,1,14
1970,2,24,1,12
1971,2,24,1,12
1982,3,29,1,15
1983,5,29,2,16
1984,5,44,2,23
1985,4,29,1,15
2018,2,39,1,19
2019,1,13,0,7
2020,2,27,1,13
2021,2,39,1,19
2025,6,65,2,33
2026,3,39,1,20
2027,3,39,1,20
2030,6,59,2,30
2031,2,39,1,19
2032,2,39,1,19
2035,2,39,1,19
2038,1,39,0,18
2040,5,32,2,17
2041,2,27,1,13
2043,5,80,2,39
2045,6,65,2,33
2047,2,27,1,13
2048,2,39,1,19
2050,2,27,1,13
2051,2,27,1,13
2052,3,44,1,22
2053,4,39,1,20
2054,1,39,0,18
2055,5,32,2,17
2056,4,54,1,27
2059,5,47,2,24
2060,3,39,1,20
2061,5,47,2,24
2062,3,39,1,20
2065,2,27,1,13
2066,5,32,2,17
2067,2,44,1,21
2070,4,39,1,20
2071,5,54,2,28
2072,2,39,1,19
2081,2,39,1,19
2090,3,44,1,22
2093,4,39,1,20
2108,3,65,1,31
