,Quality Class,Corners,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,2000,2200,2400,2600,2800,3000,3200,3400,3600,4000,4200,4400,4600,5000
0,Luxury,SINGLE FAMILY - 4 CORNERS,608.07,582.64,561.6,543.44,529.29,516.7,505.5,495.43,487.94,480.56,473.81,468.11,457.47,449.48,441.94,435.88,430.45,426.61,423.04,419.15,416.35,410.48,406.74,403.5,400.7,396.67
1,Luxury-SemiLuxury,SINGLE FAMILY - 4 CORNERS,528.77,506.64,488.37,472.58,460.29,449.23,439.57,430.82,424.27,417.91,411.94,406.98,397.77,390.96,384.31,379.01,374.29,370.94,367.86,364.48,362.02,356.97,353.7,350.88,348.43,344.94
2,SemiLuxury,SINGLE FAMILY - 4 CORNERS,369.55,354.1,341.31,330.26,321.69,314.03,307.25,301.14,296.54,291.93,287.96,284.53,277.93,273.33,268.59,264.94,261.61,259.23,257.03,254.69,253.0,249.45,247.19,245.2,243.52,241.09
3,SemiLuxury-BestStd,SINGLE FAMILY - 4 CORNERS,271.25,259.95,250.53,242.48,236.18,230.49,225.51,221.04,217.64,214.35,211.3,208.88,204.08,200.55,197.18,194.48,192.07,190.26,188.62,187.02,185.72,183.13,181.49,180.01,178.76,176.98
4,Best Std.,SINGLE FAMILY - 4 CORNERS,236.71,226.88,218.63,211.6,206,201.13,196.82,192.91,189.93,187.06,184.46,182.21,178.08,175.02,172.04,169.64,167.6,166.1,164.69,163.16,162.02,159.77,159.79,158.53,157.41,155.85
5,Best Std-GoodStd,SINGLE FAMILY - 4 CORNERS,202.45,193.85,186.9,180.94,176.11,171.95,168.27,164.87,162.4,159.79,157.72,155.77,152.29,149.65,147.12,145.11,143.34,141.98,140.73,139.59,138.61,136.67,135.44,134.34,133.41,132.07
6,Good Std.,SINGLE FAMILY - 4 CORNERS,174.41,166.99,161.05,155.88,151.82,148.21,144.94,142.05,139.83,137.76,135.85,134.08,131.2,128.94,126.71,125.04,123.41,122.39,121.28,120.25,119.31,117.71,116.65,115.68,114.88,113.73
7,Good Std-AvgStd,SINGLE FAMILY - 4 CORNERS,157.11,150.5,145.12,140.41,136.71,133.4,130.49,128.03,126.02,124.08,122.39,120.91,118.07,116.1,114.23,112.47,111.2,110.14,109.29,108.18,107.54,106.06,105.09,104.3,103.54,102.51
8,Avg Std.,SINGLE FAMILY - 4 CORNERS,141.39,135.55,130.64,126.45,123.22,120.21,117.59,115.17,113.43,111.71,110.15,108.86,106.35,104.56,102.83,101.42,100.04,99.24,98.37,97.47,96.81,95.48,94.11,93.87,93.24,92.33
9,AvgStd-MinStd,SINGLE FAMILY - 4 CORNERS,122.77,117.64,113.41,109.76,106.87,104.31,102.03,99.93,98.48,96.94,95.77,94.47,92.33,90.77,89.26,88.0,86.88,86.17,85.31,84.55,83.94,82.9,82.04,81.51,80.88,80.14
10,Min Std.,SINGLE FAMILY - 4 CORNERS,111.61,106.9,103.07,99.76,97.15,94.8,92.78,90.92,89.53,88.11,86.98,85.85,83.88,82.4,81.09,80.01,79.06,78.32,77.6,76.91,76.34,75.33,74.57,74.06,73.51,72.83
11,Luxury,SINGLE FAMILY - 6 CORNERS,619.77,593.8,572.4,553.9,539.51,526.97,516.7,506.47,498.44,491.12,484.41,478.42,468.22,460.66,453.6,447.28,441.94,437.65,433.42,429.87,426.61,422.14,418.34,414.97,413.69,409.56
12,Luxury-SemiLuxury,SINGLE FAMILY - 6 CORNERS,538.93,516.36,497.76,481.63,469.12,458.16,449.23,440.47,433.44,427.06,421.28,416.03,407.13,400.61,394.5,389.02,384.31,380.61,376.83,373.81,370.94,367.16,363.82,362.58,360.04,356.43
13,SemiLuxury,SINGLE FAMILY - 6 CORNERS,376.73,360.98,347.63,337.14,327.85,320.25,314.03,307.81,302.91,298.42,294.43,290.72,284.6,280.08,275.6,271.8,268.59,265.91,263.36,261.23,259.23,256.57,254.23,252.21,250.46,247.94
14,SemiLuxury-BestStd,SINGLE FAMILY - 6 CORNERS,276.49,264.96,255.19,247.48,240.61,235.02,230.49,225.94,222.32,219.06,216.11,213.35,208.9,205.51,202.31,199.56,197.18,195.21,193.33,191.76,190.26,188.28,186.87,184.55,183.16,181.87
15,Best Std.,SINGLE FAMILY - 6 CORNERS,241.29,231.18,222.7,215.9,210.03,205.12,201.13,197.18,194.09,191.16,188.57,186.27,182.28,179.3,176.56,174.06,172.04,170.43,168.7,167.31,166.1,164.32,162.87,161.54,160.41,158.82
16,Best Std-GoodStd,SINGLE FAMILY - 6 CORNERS,206.29,197.73,190.29,184.64,179.63,175.3,172.05,168.55,165.99,163.41,161.27,159.16,155.79,153.3,150.96,148.8,147.12,145.64,144.2,143.02,141.98,140.41,139.12,138.04,137.09,135.71
17,Good Std.,SINGLE FAMILY - 6 CORNERS,177.77,170.35,163.99,159.04,154.73,151.09,148.21,145.25,142.86,140.82,139.02,137.22,134.19,132.09,129.99,128.18,126.71,125.5,124.22,123.29,122.39,121.06,120.01,119.06,118.18,117.03
18,Good Std-AvgStd,SINGLE FAMILY - 6 CORNERS,160.19,153.48,147.64,143.26,139.32,136.04,133.4,130.78,128.83,126.82,125.17,123.56,120.97,119.01,117.08,115.48,114.23,112.95,111.93,111.03,110.14,109.05,108.06,107.19,106.45,105.37
19,Avg Std.,SINGLE FAMILY - 6 CORNERS,144.2,138.23,132.98,129.04,125.52,122.51,120.21,117.95,116.05,114.28,112.71,111.29,108.86,107.1,105.48,104.09,102.83,101.76,100.78,99.95,99.24,98.19,97.33,96.52,95.86,94.91
20,AvgStd-MinStd,SINGLE FAMILY - 6 CORNERS,125.16,119.86,115.48,112.01,108.86,106.26,104.31,102.26,100.64,99.13,97.84,96.5,94.53,92.96,91.42,90.19,89.26,88.3,87.53,86.79,86.17,85.16,84.39,83.71,83.15,82.29
21,Min Std.,SINGLE FAMILY - 6 CORNERS,113.85,109.08,104.99,101.8,99.02,96.7,94.8,92.96,91.42,90.08,88.87,87.75,85.9,84.52,83.24,82.08,81.09,80.32,79.52,78.88,78.32,77.45,76.75,76.15,75.62,74.87
22,Luxury,SINGLE FAMILY - 8 CORNERS,632.38,606.28,583.84,565.44,550.45,538.05,526.97,517.05,508.17,501.38,494.86,489.16,478.99,470.92,469.93,457.47,452.72,448.48,444.72,440.28,437.77,432.31,428.41,424.95,422.0,417.78
23,Luxury-SemiLuxury,SINGLE FAMILY - 8 CORNERS,549.84,527.31,507.65,491.75,478.61,467.89,458.16,449.66,441.91,435.96,430.31,425.34,416.56,409.51,400.61,397.77,393.64,389.99,386.75,382.82,380.71,376.02,372.61,369.63,367.03,363.36
24,SemiLuxury,SINGLE FAMILY - 8 CORNERS,382.9,367.29,354.28,343.4,334.5,326.97,320.2,314.21,308.84,304.67,300.78,297.22,291.1,286.15,280.08,277.93,275.1,272.7,270.29,267.49,265.95,262.76,260.43,258.33,256.57,253.94
25,SemiLuxury-BestStd,SINGLE FAMILY - 8 CORNERS,281.08,269.59,260.01,252.04,245.57,240.02,235.02,230.65,226.7,223.68,220.7,218.22,213.7,210.05,205.51,204.08,201.97,200.06,198.42,196.39,195.3,192.91,191.18,189.65,188.34,186.47
26,Best Std.,SINGLE FAMILY - 8 CORNERS,245.28,235.27,226.95,219.99,214.25,209.46,205.12,201.23,197.84,195.2,192.61,190.49,186.49,183.26,179.3,178.08,176.21,174.57,173.12,171.4,170.44,169.76,168.27,166.97,165.81,164.12
27,Best Std-GoodStd,SINGLE FAMILY - 8 CORNERS,209.67,201.12,193.92,187.98,183.16,179.11,175.3,172.1,169.08,166.9,164.69,162.84,159.43,156.55,153.3,152.29,150.63,149.27,148.05,146.59,145.68,143.93,142.63,141.51,140.52,139.09
